dataset,predictive,split_method,fold,pearson,kendall_tau,rmse,overlap
landrum,assay,butina,6,0.7599975928410813,0.5646237829425885,0.8486623321621214,99.74025974025975
landrum,assay,butina,7,0.771841828802891,0.5736976902852224,0.8214407768714707,99.87020211385129
landrum,assay,butina,8,0.7675499796744936,0.5709357551446571,0.8163719103379125,99.85032740879326
landrum,assay,butina,9,0.7749269122674818,0.5785494859206856,0.826176287425532,99.85085756897838
landrum,assay,butina,10,0.7476547106574741,0.5534411248110481,0.8738357650310965,99.83766233766234
landrum,scaffold,random,1,0.6796885765062126,0.4882423083368065,0.9540482535722612,77.82917052112242
landrum,scaffold,random,2,0.6762260356849438,0.48646924008924836,0.955831290361561,78.10152098222467
landrum,scaffold,random,3,0.6727118515578141,0.48228762340480186,0.9516058604194937,77.36455180082783
landrum,scaffold,random,4,0.6765031789238382,0.4845543547897072,0.94739059745002,78.09594186834164
landrum,scaffold,random,5,0.6773367806259214,0.48826284153797583,0.9581464565768519,78.49907350216183
landrum,scaffold,random,6,0.6789570453040751,0.4886075068475071,0.9569321294589764,78.17293419099455
landrum,scaffold,random,7,0.6728551760115451,0.48265086127503387,0.9606898810688472,78.41110635435142
landrum,scaffold,random,8,0.6762155504134185,0.4851525988812098,0.9568082202834599,77.95675874318614
landrum,scaffold,random,9,0.6850851663168199,0.4910770598220811,0.9486623433784226,78.24804963449843
landrum,scaffold,random,10,0.6770132774773853,0.4861399914842952,0.9513922144716966,77.64055299539172
landrum,scaffold,target,1,0.3232546735717959,0.2117393972834388,1.2604415847435175,38.540077455697684
landrum,scaffold,target,2,0.2660078947447221,0.19877159290986068,1.3435246290519454,40.79972890545578
landrum,scaffold,target,3,0.2658141836793894,0.18520306353261123,1.2954175539036326,35.48702356390487
landrum,scaffold,target,4,0.3263997319939449,0.21130927589102855,1.329871595232287,32.530267824385476
landrum,scaffold,target,5,0.2695781758825931,0.1699783790890747,1.2022790199772067,32.74542429284526
landrum,scaffold,target,6,0.24415708720187082,0.15705289455225363,1.287006787619493,41.253466444814194
landrum,scaffold,target,7,0.32365865899215596,0.22153113921431442,1.2753905213671723,39.612697634514035
landrum,scaffold,target,8,0.2372312379144544,0.1656807828215515,1.3037528669661183,31.562918747715923
landrum,scaffold,target,9,0.3141670190099943,0.216480646325836,1.2964757643737652,38.88081395348838
landrum,scaffold,target,10,0.2953982840989139,0.19322798062905913,1.2564357737447251,39.456240871812156
landrum,scaffold,butina,1,0.5470897183796027,0.3793865317327984,1.0889730669672095,41.155080213903744
landrum,scaffold,butina,2,0.5306337862156825,0.36216342752044656,1.0966404094376958,40.28623304496422
landrum,scaffold,butina,3,0.5123554415023631,0.3457311570375873,1.1057421091713195,40.105136348702224
landrum,scaffold,butina,4,0.5135405389782031,0.3555151096685328,1.1010785724750176,39.77141658802558
